entry_timestamp,exit_timestamp,entry_price,exit_price,size,direction,stop_price,holding_bars,calendar_days_held,pnl,return,outcome
2025-05-07,2025-05-21,117.06,131.8,100,Long,111.207,10,14,1474.0,0.125918,Successful
2025-05-29,2025-06-12,139.19,145.0,100,Long,132.2305,10,14,581.0,0.041742,Successful
2025-06-24,2025-07-09,147.9,162.88,100,Long,140.505,10,15,1498.0,0.101285,Successful
2025-07-11,2025-07-25,164.92,173.5,100,Long,156.674,10,14,858.0,0.052025,Successful
2025-07-28,2025-08-11,176.75,182.06,100,Long,167.9125,10,14,531.0,0.030042,Successful
2025-09-30,2025-10-14,186.58,180.03,100,Long,177.251,10,14,-655.0,-0.035106,Timed Out
2025-10-28,2025-11-06,201.03,190.9785,100,Long,190.9785,10,9,-1005.15,-0.05,Stop Loss
2025-12-23,2026-01-08,189.21,185.04,100,Long,179.7495,10,16,-417.0,-0.022039,Timed Out
2026-02-25,2026-02-26,195.56,185.782,100,Long,185.782,10,1,-977.8,-0.05,Stop Loss
